model,att,se_att,t,df,p_value,stars,type,area,aqs_id_full,week,month,spec
cbsa3,-0.7154861754752504,0.022274449358253685,-32.121385537646546,148,0,***,per_sensor,NA,840360470052,NA,NA,3
cbsa3,-0.7148182824185572,0.023275409510415464,-30.71130852063783,148,0,***,per_sensor,NA,840360470118,NA,NA,3
cbsa3,-0.7015530855787504,0.02269810871203452,-30.907997423009412,148,0,***,per_sensor,NA,840360610115,NA,NA,3
cbsa3,-0.7329216047102829,0.023586554695527496,-31.073703394640344,148,0,***,per_sensor,NA,840360610135,NA,NA,3
cbsa3,-0.6924409714733909,0.022251805352841693,-31.11841760672969,148,0,***,per_sensor,NA,840360810120,NA,NA,3
cbsa3,-0.7025716996651005,0.02292892292883299,-30.641286633731085,148,0,***,per_sensor,NA,840360810124,NA,NA,3
cbsa3,-0.6740252783505218,0.021535283211684842,-31.298649371130725,148,0,***,per_sensor,NA,840360850055,NA,NA,3
cbsa3,-0.6846560314704483,0.022669666287958384,-30.201416411415025,129,0,***,per_sensor,NA,840360850111,NA,NA,3
cbsa3,-0.6642194500881916,0.021334588657007745,-31.13345472775339,148,0,***,per_sensor,NA,840360870005,NA,NA,3
cbsa3,-0.6705280454983711,0.02178720520997761,-30.776230316649237,148,0,***,per_sensor,NA,840361030009,NA,NA,3
cbsa3,-0.6667077194254543,0.021833515304910553,-30.53597691964453,148,0,***,per_sensor,NA,840361192004,NA,NA,3
cbsa3,-0.7001709835391021,0.022798887793915867,-30.71075176421327,148,0,***,per_sensor,NA,840999999910,NA,NA,3
cbsa3,-0.7508593804336476,0.02593311419494156,-28.953691206901336,148,0,***,per_sensor,NA,840999999911,NA,NA,3
cbsa3,-0.7389769420218819,0.024087149445202516,-30.679302409902444,148,0,***,per_sensor,NA,840999999912,NA,NA,3
cbsa3,-0.7443507211182065,0.02511557621712101,-29.637015479294117,148,0,***,per_sensor,NA,840999999913,NA,NA,3
cbsa3,-0.7511771306581814,0.024310557899132446,-30.89921398656952,148,0,***,per_sensor,NA,840999999914,NA,NA,3
cbsa3,-0.7058625905365811,0.023895287743298143,-29.539823839725585,148,0,***,per_sensor,NA,840999999915,NA,NA,3
cbsa3,-0.7330458326411706,0.02365672555527571,-30.98678348059431,148,0,***,per_sensor,NA,840999999916,NA,NA,3
cbsa3,-0.6794917874487999,0.02245771695596829,-30.256494405956094,148,0,***,per_sensor,NA,840999999917,NA,NA,3
cbsa3,-0.7001236410921591,0.022340052767586837,-31.339390661957964,148,0,***,per_sensor,NA,840999999918,NA,NA,3
cbsa3,-0.7476394591591051,0.02394833293196,-31.218851904357425,148,0,***,per_sensor,NA,840999999991,NA,NA,3
cbsa3,-0.6856665257714873,0.021968373620182734,-31.211528792534434,148,0,***,per_sensor,NA,840999999992,NA,NA,3
cbsa3,-0.6946977781467059,0.02364198511835239,-29.384071374253505,148,0,***,per_sensor,NA,840999999993,NA,NA,3
cbsa3,-0.7002144906909871,0.02282274509307057,-30.680555202081532,148,0,***,per_sensor,NA,840999999994,NA,NA,3
cbsa3,-0.7356126938380309,0.024329555503021672,-30.235352789189655,148,0,***,per_sensor,NA,840999999995,NA,NA,3
cbsa3,-0.7460131758008316,0.024343688409608107,-30.645034690239907,148,0,***,per_sensor,NA,840999999996,NA,NA,3
cbsa3,-0.703617440395095,0.023723368071726907,-29.659255729107617,148,0,***,per_sensor,NA,840999999997,NA,NA,3
cbsa3,-0.7028316595693733,0.02288881239068419,-30.706340179337033,148,0,***,per_sensor,NA,840999999998,NA,NA,3
cbsa3,-0.7084343615736343,0.02495262362914161,-28.39117730074162,148,0,***,per_sensor,NA,840999999999,NA,NA,3
cbsa3,-0.7966997306336095,0.01831887258456887,-43.49065298400075,167,0,***,per_week,NA,NA,1,NA,3
cbsa3,-1.2090937457147206,0.017135596777063878,-70.5603523148433,293,0,***,per_week,NA,NA,2,NA,3
cbsa3,-1.2834521892207535,0.01929195682412919,-66.52783856614745,293,0,***,per_week,NA,NA,3,NA,3
cbsa3,-1.3026949541376585,0.020802417718443413,-62.6222861096905,293,0,***,per_week,NA,NA,4,NA,3
cbsa3,-1.1465236990074266,0.018414224097533023,-62.262938309794315,293,0,***,per_week,NA,NA,5,NA,3
cbsa3,-0.9617147745649264,0.015726085943825577,-61.154109038970226,293,0,***,per_week,NA,NA,6,NA,3
cbsa3,-0.9146993207070427,0.016078980407306355,-56.887893233043535,293,0,***,per_week,NA,NA,7,NA,3
cbsa3,-0.8556853708450987,0.016251192842525367,-52.65369620167087,293,0,***,per_week,NA,NA,8,NA,3
cbsa3,-0.8564225953255651,0.016161235797058554,-52.992395264812565,293,0,***,per_week,NA,NA,9,NA,3
cbsa3,-0.7126242177120096,0.014688783043687745,-48.51485760205627,293,0,***,per_week,NA,NA,10,NA,3
cbsa3,-0.734427221210492,0.015698802932639883,-46.78237088278374,293,0,***,per_week,NA,NA,11,NA,3
cbsa3,-0.6454041134977785,0.01495573808122903,-43.154280316517855,293,0,***,per_week,NA,NA,12,NA,3
cbsa3,-0.6709203356573428,0.017213964581531193,-38.975352393670605,293,0,***,per_week,NA,NA,13,NA,3
cbsa3,-0.5438902346585208,0.014603791927935764,-37.24308298436564,293,0,***,per_week,NA,NA,14,NA,3
cbsa3,-0.48064974795310456,0.014298215610869964,-33.616065181427196,293,0,***,per_week,NA,NA,15,NA,3
cbsa3,-0.48847290024840867,0.017568546316548007,-27.80383142959931,278,0,***,per_week,NA,NA,16,NA,3
cbsa3,-0.43809581085412674,0.017281675840099042,-25.350308321233733,272,0,***,per_week,NA,NA,17,NA,3
cbsa3,-0.40137944404187675,0.018494039356514176,-21.70317886235591,272,0,***,per_week,NA,NA,18,NA,3
cbsa3,-0.31160011540489063,0.015922605958447387,-19.569668194896078,293,0,***,per_week,NA,NA,19,NA,3
cbsa3,-0.24954426397159057,0.015453787123962106,-16.147774132636776,293,0,***,per_week,NA,NA,20,NA,3
cbsa3,-0.16558223848357423,0.012950194842566414,-12.78608086569606,293,0,***,per_week,NA,NA,21,NA,3
cbsa3,-0.1550395537152501,0.01963959406491383,-7.89423412738599,209,1.6253665080512292e-13,***,per_week,NA,NA,22,NA,3
cbsa3,-1.184317523413372,0.009171902363903093,-129.12452361839001,1175,0,***,per_month,NA,NA,NA,1,3
cbsa3,-0.9505762296233525,0.008299787031369287,-114.53019529665303,1175,0,***,per_month,NA,NA,NA,2,3
cbsa3,-0.7063569374432873,0.007435844353154332,-94.9935076496923,1301,0,***,per_month,NA,NA,NA,3,3
cbsa3,-0.4879295142482321,0.00768895771219633,-63.45847285312437,1220,0,***,per_month,NA,NA,NA,4,3
cbsa3,-0.26182735500493237,0.007550891516927681,-34.675025381832675,1283,0,***,per_month,NA,NA,NA,5,3
cbsa3,-0.10530235216338799,0.031416944416915754,-3.351769375340343,41,0.0017347034043881937,**,per_month,NA,NA,NA,6,3
nyc1,-1.728476861801499,0.005379606548936816,-321.3017245923128,4320,0,***,overall,NA,NA,NA,NA,1
nyc1,-1.7330675989594346,0.011854138533963651,-146.19937113051026,893,0,***,per_area,crz,NA,NA,NA,1
nyc1,-1.7270873868983017,0.006033946181257195,-286.2285037050921,3426,0,***,per_area,nyc,NA,NA,NA,1
nyc1,-1.7058542919721598,0.028401948189782117,-60.061171880661966,148,0,***,per_sensor,NA,840360050080,NA,NA,1
nyc1,-1.7118691722474322,0.028523125485457775,-60.01688605690184,148,0,***,per_sensor,NA,840360050110,NA,NA,1
nyc1,-1.708224032094305,0.02851183586879391,-59.91280393010221,148,0,***,per_sensor,NA,840360050112,NA,NA,1
nyc1,-1.7352456437379133,0.02873091966095082,-60.396453166667875,148,0,***,per_sensor,NA,840360470052,NA,NA,1
nyc1,-1.6858160981368937,0.028658214257676985,-58.824882910675285,148,0,***,per_sensor,NA,840360470118,NA,NA,1
nyc1,-1.722866501407359,0.028517677667816592,-60.413983265954606,148,0,***,per_sensor,NA,840360610115,NA,NA,1
nyc1,-1.7018065214065412,0.028480285878563497,-59.75384266375832,148,0,***,per_sensor,NA,840360610135,NA,NA,1
nyc1,-1.72818442460254,0.028606430316729492,-60.412445924504965,148,0,***,per_sensor,NA,840360810120,NA,NA,1
nyc1,-1.7111766715179872,0.028382763121709675,-60.28929122158393,148,0,***,per_sensor,NA,840360810124,NA,NA,1
nyc1,-1.7059583242006675,0.02855927121441424,-59.73395859414115,148,0,***,per_sensor,NA,840360850055,NA,NA,1
nyc1,-1.7065403145070313,0.02851537876387016,-59.84631411136187,148,0,***,per_sensor,NA,840360850111,NA,NA,1
nyc1,-1.7162930328967787,0.028508220328040994,-60.20344353830514,148,0,***,per_sensor,NA,840999999910,NA,NA,1
nyc1,-1.7565265534730201,0.029674469648116743,-59.1931911269894,148,0,***,per_sensor,NA,840999999911,NA,NA,1
nyc1,-1.7368264927562738,0.02881617821450473,-60.27261768814421,148,0,***,per_sensor,NA,840999999912,NA,NA,1
nyc1,-1.7365134849149197,0.028836282565943613,-60.21974160309369,148,0,***,per_sensor,NA,840999999913,NA,NA,1
nyc1,-1.7498829298054983,0.029386627416385983,-59.546912444595925,148,0,***,per_sensor,NA,840999999914,NA,NA,1
nyc1,-1.783593891739158,0.03141706267559168,-56.77150375756977,148,0,***,per_sensor,NA,840999999915,NA,NA,1
nyc1,-1.7166819003203133,0.028523916971192387,-60.18394675787582,148,0,***,per_sensor,NA,840999999916,NA,NA,1
nyc1,-1.7608266965235584,0.029901344254029013,-58.88787746678975,148,0,***,per_sensor,NA,840999999917,NA,NA,1
nyc1,-1.741015519417889,0.02902498197339799,-59.983345416495574,148,0,***,per_sensor,NA,840999999918,NA,NA,1
nyc1,-1.7306062915614384,0.02872368333838954,-60.25015215400536,148,0,***,per_sensor,NA,840999999991,NA,NA,1
nyc1,-1.7189750517784932,0.02858680778219693,-60.131759547109105,148,0,***,per_sensor,NA,840999999992,NA,NA,1
nyc1,-1.7042239008059792,0.02847346086608627,-59.85306488807687,148,0,***,per_sensor,NA,840999999993,NA,NA,1
nyc1,-1.715241954627702,0.02850464531437432,-60.17412024287634,148,0,***,per_sensor,NA,840999999994,NA,NA,1
nyc1,-1.7026012280430383,0.028498467670423255,-59.7436061381665,148,0,***,per_sensor,NA,840999999995,NA,NA,1
nyc1,-1.7669341612859046,0.030284262206159648,-58.344963111781546,148,0,***,per_sensor,NA,840999999996,NA,NA,1
nyc1,-1.7516510928974673,0.029358247874393808,-59.66470139470596,148,0,***,per_sensor,NA,840999999997,NA,NA,1
nyc1,-1.7618204083099511,0.029967013352843352,-58.7919919668199,148,0,***,per_sensor,NA,840999999998,NA,NA,1
nyc1,-1.750705014884796,0.02945403427304853,-59.43854748912112,148,0,***,per_sensor,NA,840999999999,NA,NA,1
nyc1,-1.9942205097305283,0.028277079375841226,-70.52427456260948,115,0,***,per_week,NA,NA,1,NA,1
nyc1,-3.0588000325341005,0.026864817614297137,-113.85895398397358,202,0,***,per_week,NA,NA,2,NA,1
nyc1,-3.105452526585561,0.02912409472116033,-106.62829373128193,202,0,***,per_week,NA,NA,3,NA,1
nyc1,-3.278009269126058,0.03123469576357704,-104.94769322992937,202,0,***,per_week,NA,NA,4,NA,1
nyc1,-2.85015618897644,0.02875892409375063,-99.1051048949284,202,0,***,per_week,NA,NA,5,NA,1
nyc1,-2.3972806517145386,0.024765052004848444,-96.80095366830663,202,0,***,per_week,NA,NA,6,NA,1
nyc1,-2.292246712039625,0.024989540475511687,-91.72824583492822,202,0,***,per_week,NA,NA,7,NA,1
nyc1,-2.1150891627026054,0.024633745418759765,-85.86145252162363,202,0,***,per_week,NA,NA,8,NA,1
nyc1,-2.100042386291847,0.024611788322724697,-85.32668812013242,202,0,***,per_week,NA,NA,9,NA,1
nyc1,-1.7678042333358626,0.021995686627696635,-80.37049550932728,202,0,***,per_week,NA,NA,10,NA,1
nyc1,-1.7841322878452133,0.023171018473363933,-76.99844052587282,202,0,***,per_week,NA,NA,11,NA,1
nyc1,-1.525748543096866,0.021571633594929043,-70.72939267128716,202,0,***,per_week,NA,NA,12,NA,1
nyc1,-1.6241895912296502,0.025622622690242722,-63.38888921968762,202,0,***,per_week,NA,NA,13,NA,1
nyc1,-1.3146050134601936,0.021784510464913656,-60.34585976019563,202,0,***,per_week,NA,NA,14,NA,1
nyc1,-1.1889393223901938,0.021977278205165224,-54.09856995443424,202,0,***,per_week,NA,NA,15,NA,1
nyc1,-1.194867435393495,0.025688803316078916,-46.513160644023216,202,0,***,per_week,NA,NA,16,NA,1
nyc1,-1.041049894303346,0.024157270833393196,-43.094681575713295,202,0,***,per_week,NA,NA,17,NA,1
nyc1,-0.9730870020319359,0.02612975124548335,-37.24057657074476,202,0,***,per_week,NA,NA,18,NA,1
nyc1,-0.7580635570602475,0.02438509862230719,-31.087163878303134,202,0,***,per_week,NA,NA,19,NA,1
nyc1,-0.60622292009607,0.02352445829429641,-25.76989924750152,202,0,***,per_week,NA,NA,20,NA,1
nyc1,-0.4049706943444053,0.019847054117885978,-20.404574499519782,202,0,***,per_week,NA,NA,21,NA,1
nyc1,-0.3769327580106095,0.030688155197618503,-12.28267895490377,144,0,***,per_week,NA,NA,22,NA,1
nyc1,-2.9489926420774664,0.014010927347038415,-210.478048242882,811,0,***,per_month,NA,NA,NA,1,1
nyc1,-2.356507425215553,0.01282830925064375,-183.6958697497333,811,0,***,per_month,NA,NA,NA,2,1
nyc1,-1.721776560416662,0.011036132151378065,-156.0126806022041,898,0,***,per_month,NA,NA,NA,3,1
nyc1,-1.1842792327759182,0.011333230674770064,-104.49617295907953,869,0,***,per_month,NA,NA,NA,4,1
nyc1,-0.6394681992126472,0.011427329870139604,-55.95954667272023,898,0,***,per_month,NA,NA,NA,5,1
nyc1,-0.254981335540091,0.05162990308101322,-4.938636726472179,28,3.280003718364455e-5,***,per_month,NA,NA,NA,6,1
nyc2,-1.0048958605760554,0.00541289781595336,-185.6484077002783,4301,0,***,overall,NA,NA,NA,NA,2
nyc2,-1.033707692454385,0.012233767785261893,-84.49626563123914,893,0,***,per_area,crz,NA,NA,NA,2
nyc2,-0.9975328862510426,0.006036573383920864,-165.24820006464114,3407,0,***,per_area,nyc,NA,NA,NA,2
nyc2,-0.9834721207385859,0.02820991596357212,-34.862639151728,148,0,***,per_sensor,NA,840360050080,NA,NA,2
nyc2,-0.9803147222812628,0.028185989983499304,-34.780212540171924,148,0,***,per_sensor,NA,840360050110,NA,NA,2
nyc2,-0.9765025403047921,0.02812017395301867,-34.72604906129913,148,0,***,per_sensor,NA,840360050112,NA,NA,2
nyc2,-1.0087420643930838,0.028818300345417647,-35.00352388247221,148,0,***,per_sensor,NA,840360470052,NA,NA,2
nyc2,-0.9872652728518823,0.02879064323041747,-34.291184985017324,148,0,***,per_sensor,NA,840360470118,NA,NA,2
nyc2,-0.9960902896644624,0.028418572216084903,-35.050680311823534,148,0,***,per_sensor,NA,840360610115,NA,NA,2
nyc2,-1.0047118848081305,0.02884027334270961,-34.83711381196415,148,0,***,per_sensor,NA,840360610135,NA,NA,2
nyc2,-0.9798967953852452,0.028203615252739768,-34.74365915873341,148,0,***,per_sensor,NA,840360810120,NA,NA,2
nyc2,-0.9745634442978653,0.02808522208940876,-34.70022210240537,148,0,***,per_sensor,NA,840360810124,NA,NA,2
nyc2,-0.9767077008215787,0.0283164700315525,-34.49256562464361,148,0,***,per_sensor,NA,840360850055,NA,NA,2
nyc2,-1.035262070236988,0.03112645562673711,-33.25987650671395,129,0,***,per_sensor,NA,840360850111,NA,NA,2
nyc2,-0.9751497458230574,0.02808691883653302,-34.71900038229425,148,0,***,per_sensor,NA,840999999910,NA,NA,2
nyc2,-1.0492532121107483,0.030739467724904223,-34.13374693084467,148,0,***,per_sensor,NA,840999999911,NA,NA,2
nyc2,-1.0392674085972669,0.029987354802879597,-34.65685504536296,148,0,***,per_sensor,NA,840999999912,NA,NA,2
nyc2,-1.0308120530253626,0.029607801596257935,-34.81555527431137,148,0,***,per_sensor,NA,840999999913,NA,NA,2
nyc2,-1.0476342790476818,0.03052700321182225,-34.31828115515651,148,0,***,per_sensor,NA,840999999914,NA,NA,2
nyc2,-1.0253802000116155,0.030848454025221156,-33.23927348752331,148,0,***,per_sensor,NA,840999999915,NA,NA,2
nyc2,-1.0194823166317204,0.029281501800314833,-34.81659935286376,148,0,***,per_sensor,NA,840999999916,NA,NA,2
nyc2,-1.0012790545330779,0.02960984063940528,-33.81575290211318,148,0,***,per_sensor,NA,840999999917,NA,NA,2
nyc2,-1.015209623424919,0.029135646271063124,-34.84424591031649,148,0,***,per_sensor,NA,840999999918,NA,NA,2
nyc2,-1.0352273173777549,0.029869203212888194,-34.65868540246387,148,0,***,per_sensor,NA,840999999991,NA,NA,2
nyc2,-0.9751834541171381,0.028038026159569684,-34.78074556914904,148,0,***,per_sensor,NA,840999999992,NA,NA,2
nyc2,-0.9691875404075155,0.027952466169344315,-34.672702384680136,148,0,***,per_sensor,NA,840999999993,NA,NA,2
nyc2,-0.975665478869943,0.028157475229634105,-34.65031828717057,148,0,***,per_sensor,NA,840999999994,NA,NA,2
nyc2,-1.0129438204817436,0.02921434145043719,-34.67282746045213,148,0,***,per_sensor,NA,840999999995,NA,NA,2
nyc2,-1.0541573025792221,0.031167910907036057,-33.821878717615604,148,0,***,per_sensor,NA,840999999996,NA,NA,2
nyc2,-1.0052397747195134,0.028978481666591324,-34.68918027815215,148,0,***,per_sensor,NA,840999999997,NA,NA,2
nyc2,-0.9969295438617455,0.02937800282396965,-33.93455810577927,148,0,***,per_sensor,NA,840999999998,NA,NA,2
nyc2,-1.0053891150501886,0.02947182653173206,-34.11356652658412,148,0,***,per_sensor,NA,840999999999,NA,NA,2
nyc2,-0.8855190251733458,0.02759758722075877,-32.086827666849906,115,0,***,per_week,NA,NA,1,NA,2
nyc2,-1.357927381240191,0.025968087213809027,-52.29216037591276,202,0,***,per_week,NA,NA,2,NA,2
nyc2,-1.4796970201242123,0.029796314552569054,-49.66040405814658,202,0,***,per_week,NA,NA,3,NA,2
nyc2,-1.4952655188859023,0.031209193437928856,-47.91105934409348,202,0,***,per_week,NA,NA,4,NA,2
nyc2,-1.369024320038758,0.0284223990298288,-48.16709239082849,202,0,***,per_week,NA,NA,5,NA,2
nyc2,-1.1722870443301974,0.024171422610081546,-48.49888495355891,202,0,***,per_week,NA,NA,6,NA,2
nyc2,-1.1531431258864042,0.024873764030261838,-46.359816089091744,202,0,***,per_week,NA,NA,7,NA,2
nyc2,-1.0834812265720328,0.024317893990827368,-44.55489554238202,202,0,***,per_week,NA,NA,8,NA,2
nyc2,-1.117818254579552,0.024347391113892634,-45.91121280101852,202,0,***,per_week,NA,NA,9,NA,2
nyc2,-0.9708093075342518,0.022452301074820175,-43.238744407493975,202,0,***,per_week,NA,NA,10,NA,2
nyc2,-1.0418198842319477,0.023991217125994006,-43.42505337518523,202,0,***,per_week,NA,NA,11,NA,2
nyc2,-0.9468145047423898,0.02253424900493317,-42.01668777757423,202,0,***,per_week,NA,NA,12,NA,2
nyc2,-1.0232312927533556,0.025942441831339112,-39.44236627398994,202,0,***,per_week,NA,NA,13,NA,2
nyc2,-0.8754535774151474,0.022292886788180682,-39.270534396617414,202,0,***,per_week,NA,NA,14,NA,2
nyc2,-0.8184520119693102,0.021782895730743802,-37.57315014891104,202,0,***,per_week,NA,NA,15,NA,2
nyc2,-0.8784413502703668,0.02597190468211258,-33.8227542809122,197,0,***,per_week,NA,NA,16,NA,2
nyc2,-0.839026955365672,0.025108935288170348,-33.415473246329384,195,0,***,per_week,NA,NA,17,NA,2
nyc2,-0.8615785528269366,0.027592405267403655,-31.225206518866415,195,0,***,per_week,NA,NA,18,NA,2
nyc2,-0.7436288244722085,0.02445568053047365,-30.40720226720291,202,0,***,per_week,NA,NA,19,NA,2
nyc2,-0.672656149512142,0.023783038434743567,-28.283019907561055,202,0,***,per_week,NA,NA,20,NA,2
